ogr_fid,region,division,statefp,statens,geoid,stusps,name,lsad,mtfcc,funcstat,aland,awater,intptlat,intptlon
1,3,5,54,01779805,54,WV,West Virginia,00,G4000,A,62265597146,489902816,+38.6472854,-080.6183274
2,3,5,12,00294478,12,FL,Florida,00,G4000,A,138924199212,31386038155,+28.4574302,-082.4091478
3,2,3,17,01779784,17,IL,Illinois,00,G4000,A,143788697679,6206693598,+40.1028754,-089.1526108
4,2,4,27,00662849,27,MN,Minnesota,00,G4000,A,206232257655,18929176411,+46.3158148,-094.1996628
5,3,5,24,01714934,24,MD,Maryland,00,G4000,A,25147754905,6983312282,+38.9466584,-076.6744939
6,1,1,44,01219835,44,RI,Rhode Island,00,G4000,A,2677898725,1323551636,+41.5974187,-071.5272723
7,4,8,16,01779783,16,ID,Idaho,00,G4000,A,214042908012,2398669593,+44.3484222,-114.5588538
8,1,1,33,01779794,33,NH,New Hampshire,00,G4000,A,23187396994,1028678842,+43.6726907,-071.5843145
9,3,5,37,01027616,37,NC,North Carolina,00,G4000,A,125921301190,13470062955,+35.5397100,-079.1308636
10,1,1,50,01779802,50,VT,Vermont,00,G4000,A,23873467535,1031124865,+44.0604795,-072.6733274
11,1,1,09,01779780,09,CT,Connecticut,00,G4000,A,12542638347,1815476291,+41.5797777,-072.7466665
12,3,5,10,01779781,10,DE,Delaware,00,G4000,A,5047194742,1398720828,+38.9985380,-075.4416616
13,4,8,35,00897535,35,NM,New Mexico,00,G4000,A,314169362533,755722962,+34.4346843,-106.1316181
14,4,9,06,01779778,06,CA,California,00,G4000,A,403501101370,20466718403,+37.1551773,-119.5434183
15,1,2,34,01779795,34,NJ,New Jersey,00,G4000,A,19050755048,3541927612,+40.1072744,-074.6652012
16,2,3,55,01779806,55,WI,Wisconsin,00,G4000,A,140273604537,29361386480,+44.6309071,-089.7093916
17,4,9,41,01155107,41,OR,Oregon,00,G4000,A,248604268242,6195105690,+43.9717125,-120.6229578
18,2,4,31,01779792,31,NE,Nebraska,00,G4000,A,198972706218,1356290940,+41.5433014,-099.8118616
19,1,2,42,01779798,42,PA,Pennsylvania,00,G4000,A,115882226263,3396805575,+40.9024957,-077.8334514
20,4,9,53,01779804,53,WA,Washington,00,G4000,A,172113416541,12558451099,+47.4073238,-120.5757999
21,3,7,22,01629543,22,LA,Louisiana,00,G4000,A,111904912452,23746303848,+30.8634368,-091.7987173
22,3,5,13,01705317,13,GA,Georgia,00,G4000,A,149169848456,4741100880,+32.6295789,-083.4235109
23,3,6,01,01779775,01,AL,Alabama,00,G4000,A,131173688951,4593686489,+32.7396323,-086.8434593
24,4,8,49,01455989,49,UT,Utah,00,G4000,A,212885517115,6999529104,+39.3349925,-111.6563326
25,2,3,39,01085497,39,OH,Ohio,00,G4000,A,105833122995,10264595056,+40.4149297,-082.7119975
26,3,7,48,01779801,48,TX,Texas,00,G4000,A,676633459408,19025991684,+31.4347032,-099.2818238
27,4,8,08,01779779,08,CO,Colorado,00,G4000,A,268429343790,1175112870,+38.9938482,-105.5083165
28,3,5,45,01779799,45,SC,South Carolina,00,G4000,A,77861720871,5070943755,+33.8741769,-080.8542699
29,3,7,40,01102857,40,OK,Oklahoma,00,G4000,A,177663722167,3373836066,+35.5900512,-097.4868149
30,3,6,47,01325873,47,TN,Tennessee,00,G4000,A,106797662267,2355188876,+35.8585639,-086.3493573
31,4,8,56,01779807,56,WY,Wyoming,00,G4000,A,251464935120,1861273298,+42.9918024,-107.5419255
32,4,9,15,01779782,15,HI,Hawaii,00,G4000,A,16634100855,11777698394,+19.8281671,-155.4950421
33,2,4,38,01779797,38,ND,North Dakota,00,G4000,A,178711813026,4399093501,+47.4421698,-100.4608163
34,3,6,21,01779786,21,KY,Kentucky,00,G4000,A,102266279759,2388770991,+37.5336844,-085.2929801
35,9,0,78,01802710,78,VI,United States Virgin Islands,00,G4000,A,348013113,1550244955,+18.3267484,-064.9712504
